"area_code","state_code","city_name"
201,"NJ","Newark"
202,"DC","Washington"
203,"CT","NewHaven"
204,"MB","Yorkton"
205,"AL","Birmingham"
206,"WA","Seattle"
207,"ME","Portland"
208,"ID","Boise"
209,"CA","Fresno"
210,"TX","SanAntonio"
212,"NY","NewYork"
213,"CA","LosAngeles"
214,"TX","Dallas"
215,"PA","Philadelphia"
216,"OH","Cleveland"
217,"IL","Chicago"
218,"MN","Duluth"
219,"IN","Valparaiso"
224,"IL","Chicago"
225,"LA","BatonRouge"
226,"ON","Wyoming"
228,"MS","Gulfport"
229,"GA","Albany"
231,"MI","Muskegon"
234,"OH","Akron"
236,"BC","Victoria"
239,"FL","FortMyers"
240,"MD","Baltimore"
248,"MI","Detroit"
249,"ON","WhitefishFalls"
250,"BC","Zeballos"
251,"AL","Mobile"
252,"NC","Greenville"
253,"WA","Seattle"
254,"TX","Killeen"
256,"AL","Huntsville"
260,"IN","FortWayne"
262,"WI","Milwaukee"
267,"PA","Philadelphia"
269,"MI","Kalamazoo"
270,"KY","BowlingGreen"
272,"PA","LakeAriel"
276,"VA","Martinsville"
281,"TX","Houston"
289,"ON","Woodbridge"
301,"MD","Baltimore"
302,"DE","Wilmington"
303,"CO","Denver"
304,"WV","Charleston"
305,"FL","Miami"
306,"SK","Yorkton"
307,"WY","Casper"
308,"NE","GrandIsland"
309,"IL","Peoria"
310,"CA","LosAngeles"
312,"IL","Chicago"
313,"MI","Detroit"
314,"MO","SaintLouis"
315,"NY","Syracuse"
316,"KS","Wichita"
317,"\IN","Indianapolis"
318,"LA","Shreveport"
319,"IA","CedarRapids"
320,"MN","SaintCloud"
321,"FL","Orlando"
323,"CA","LosAngeles"
325,"TX","Abilene"
330,"OH","Akron"
331,"IL","Lemont"
334,"AL","Montgomery"
336,"NC","Greensboro"
337,"LA","Lafayette"
339,"MA","Boston"
340,"VI","CharlotteAmalie"
343,"ON","VankleekHill"
346,"TX","Houston"
347,"NY","Brooklyn"
352,"FL","Gainesville"
360,"WA","Seattle"
361,"TX","CorpusChristi"
365,"ON","Tottenham"
385,"UT","SaltLakeCity"
